OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID,x,y
33,CC-OTH-023,Bright Scholars Montessori - Montevideo,Social Services,Child Care (Other),Child Care Centre,5920 Montevideo Rd,,Mississauga,ON,L5N 3J5,905-542-1895,https://peelchildcare.cioc.ca/record/CDR0390,Community-Based For-Profit Centre,No,9,,-8877577.7344457,5400819.20343271
34,CC-OTH-041,Brilliant Minds Montessori - Bristol,Social Services,Child Care (Other),Child Care Centre,310 Bristol Rd E,,Mississauga,ON,L5V 2C8,905-501-0436,https://peelchildcare.cioc.ca/record/CDR0540,Community-Based For-Profit Centre,No,5,275293,-8866964.79456869,5406299.04616553
35,CC-OTH-042,Brilliant Minds Montessori - Mississauga Valley,Social Services,Child Care (Other),Child Care Centre,1275 Mississauga Valley Blvd,,Mississauga,ON,L5A 3R8,905-275-4144,https://peelchildcare.cioc.ca/record/CDR0511,Community-Based For-Profit Centre,No,4,,-8863730.63009307,5403289.41356837
36,CC-PLP-015,Brisdale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,370 Brisdale Dr,,Brampton,ON,L7A 3K9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0779,School-Based Centre,No,6,249522,-8887407.88557288,5418887.27918666
37,CC-OTH-044,Building Blocks Nursery School,Social Services,Child Care (Other),Child Care Centre,85 Sandalwood Pky E,,Brampton,ON,L6Z 4S3,905-846-3305,https://peelchildcare.cioc.ca/record/CDR0403,Community-Based For-Profit Centre,No,2,193281,-8883035.9858585,5422470.07012326
38,CC-PLP-018,Burnhamthorpe (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3465 Golden Orchard Dr,,Mississauga,ON,L4Y 3H7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0682,School-Based Centre,Yes,3,23291,-8860818.86064687,5406291.73170033
39,CC-PLP-019,Burnt Elm (PLASP),Social Services,Child Care (PLASP),Child Care Centre,85 Burnt Elm Dr,,Brampton,ON,L7A 1T8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0769,School-Based Centre,Yes,2,261637,-8885335.10509502,5421981.39683421
40,CC-OTH-045,Busy Bees Nursery School,Social Services,Child Care (Other),Child Care Centre,168 Kennedy Rd S,,Brampton,ON,L6W 3G6,905-454-7676,https://peelchildcare.cioc.ca/record/CDR0402,Community-Based For-Profit Centre,No,3,271052,-8875344.5201516,5416315.87111569
41,CC-OTH-046,Busy Hands 'n' Minds Childcare,Social Services,Child Care (Other),Child Care Centre,4615 Glen Erin Dr,,Mississauga,ON,L5M 4E8,905-569-2999,https://peelchildcare.cioc.ca/record/CDR0553,Community-Based For-Profit Centre,No,8,276408,-8873279.03910656,5396635.76575896
42,CC-YMC-006,Caledon Central (YMCA),Social Services,Child Care (YMCA),Child Care Centre,18357 Kennedy Rd,,Caledon,ON,L7K 1Y7,519-938-5566,https://peelchildcare.cioc.ca/record/CDR1091?Number=3,School-Based Centre,Yes,1,294896,-8903664.89019297,5445429.45330248
43,CC-OTH-048,Caledon East Children's Place,Social Services,Child Care (Other),Child Care Centre,6029 Old Church Rd,,Caledon,ON,L7C 1H8,905-584-9189,https://peelchildcare.cioc.ca/record/CAL0321,Community-Based Non-Profit Centre,No,3,,-8890628.77222219,5445406.62748391
44,CC-OTH-049,Caledon Hills Montessori,Social Services,Child Care (Other),Child Care Centre,6046 Old Church Rd,,Caledon,ON,L0N 1E0,905-584-5114,https://peelchildcare.cioc.ca/record/CAL0122,Community-Based For-Profit Centre,No,3,85595,-8890663.19654892,5445563.11601259
45,CC-PLP-020,Canadian Martyrs (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1185 Mississauga Valley Blvd,,Mississauga,ON,L5A 3R7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0683,School-Based Centre,Yes,4,249672,-8863552.74215314,5403638.37123482
46,CC-PLP-021,Carberry (PLASP),Social Services,Child Care (PLASP),Child Care Centre,526 Fernforest Dr,,Brampton,ON,L6R 0W1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0792,School-Based Centre,Yes,9,320758,-8880489.51352769,5427822.23266725
47,CC-PLP-158,St. John Henry Newman C.S. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,698 Balmoral Dr,,Brampton,ON,L6T 1Z1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0742,School-Based Centre,Yes,7,58444,-8872120.06753581,5422480.63809305
48,CC-OTH-051,Caring for Kids - The Centre,Social Services,Child Care (Other),Child Care Centre,1110 Caven St ,105,Mississauga,ON,L5G 4N4,905-274-4362,https://peelchildcare.cioc.ca/record/CDR0578,Community-Based Non-Profit Centre,No,1,133337,-8857778.39969904,5399104.31547333
49,CC-HDC-003,Caring for Kids Home Child Care Agency,Social Services,Child Care (Home Child Care),Child Care Centre,130 Dundas St E,303,Mississauga,ON,L5A 3V8,905-270-3370,https://peelchildcare.cioc.ca/record/CDR0805,Home Care,No,7,124632,-8862420.69451574,5401133.15052181
50,CC-PLP-022,Cashmere (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2455 Cashmere Ave,,Mississauga,ON,L5B 2M7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0684,School-Based Centre,Yes,7,232453,-8863927.99468477,5398359.86924882
51,CC-YMC-008,Castlebridge (YMCA),Social Services,Child Care (YMCA),Child Care Centre,2801 Castlebridge Dr,,Mississauga,ON,L5M 5J9,416-670-1800,https://peelchildcare.cioc.ca/record/CDR0852,School-Based Centre,Yes,9,308788,-8875823.42448686,5398831.97662028
52,CC-OTH-056,Centre Educatif Eveil aux Savoirs (Saint Jean Baptiste),Social Services,Child Care (French),Child Care Centre,1910 Broad Hollow Gate,,Mississauga,ON,L5L 3T4,905-569-8161,https://peelchildcare.cioc.ca/record/CDR0325,School-Based Centre,Yes,8,,-8868502.42539221,5394944.66532866
53,CC-YMC-010,Champlain Trail (YMCA),Social Services,Child Care (YMCA),Child Care Centre,895 Ceremonial Dr,,Mississauga,ON,L5R 3B5,905-507-1058,https://peelchildcare.cioc.ca/record/CDR0498,School-Based Centre,Yes,5,,-8869748.20289534,5404319.04973482
54,CC-FDC-003,Cherrytree (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,155 Cherrytree Dr,,Brampton,ON,L6Y 3M9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0458,School-Based Centre,Yes,4,57223,-8874922.33175264,5412066.46716194
55,CC-OTH-058,Children's Choice Day Care Inc.,Social Services,Child Care (Other),Child Care Centre,2021 Williams Pky E,"5,6",Brampton,ON,L6S 5P4,905-789-1716,https://peelchildcare.cioc.ca/record/CDR0392,Community-Based For-Profit Centre,No,8,310714,-8872593.83169243,5427898.23671164
56,CC-OTH-059,Children's Circle Montessori School,Social Services,Child Care (Other),Child Care Centre,35 Brisdale Dr,,Brampton,ON,L7A 0S9,905-609-6900,https://peelchildcare.cioc.ca/record/CDR0972,Community-Based For-Profit Centre,No,6,257534,-8884693.76620604,5416780.12859035
57,CC-OTH-060,Children's Palace Montessori and Pre-school,Social Services,Child Care (Other),Child Care Centre,820 Southdown Rd,,Mississauga,ON,L5J 2Y4,905-823-3317,https://peelchildcare.cioc.ca/record/CDR0572,Community-Based For-Profit Centre,No,2,49511,-8863912.79958628,5389535.48926759
58,CC-HDC-004,ChildSPEC Licensed Home Day Care Services,Social Services,Child Care (Home Child Care),Child Care Centre,31 Blue Oak Ave,,Brampton,ON,L6R 1B5,905-793-6444,https://peelchildcare.cioc.ca/record/CDR0799,Home Care,No,9,84471,-8878869.22614083,5426202.87788504
59,CC-PLP-024b,Christ the King Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3240 Garthwood Rd,,Mississauga,ON,L5L 5A3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0928,School-Based Centre,No,8,272768,-8871668.80092311,5392088.83142256
60,CC-YMC-012,Churchill Meadows (YMCA),Social Services,Child Care (YMCA),Child Care Centre,3310 McDowell Dr,,Mississauga,ON,L6R 6R8,416-300-7744,https://peelchildcare.cioc.ca/record/CDR0861,School-Based Centre,Yes,10,287575,-8877458.64926033,5397507.79187207
61,CC-PLP-025,Claireville (PLASP),Social Services,Child Care (PLASP),Child Care Centre,97 Gallucci Cres,,Brampton,ON,L6P 1R6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0788,School-Based Centre,Yes,8,304568,-8868928.35215778,5430144.8557988
62,CC-PLP-026,Clark Blvd. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,201 Clark Blvd,,Brampton,ON,L6T 2C9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0784,School-Based Centre,Yes,7,190080,-8874201.62345601,5421406.03209896
63,CC-PLP-027,Clarkson (PLASP),Social Services,Child Care (PLASP),Child Care Centre,888 Clarkson Rd S,,Mississauga,ON,L5J 2B9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0661,School-Based Centre,Yes,2,44821,-8863388.22441643,5390552.88339608
64,CC-OTH-064,Clarkson Angels Child Care and Educational Centre (South),Social Services,Child Care (Other),Child Care Centre,1146 Clarkson Rd N,,Mississauga,ON,L5J 2W1,905-855-1146,https://peelchildcare.cioc.ca/record/CDR0887,Community-Based For-Profit Centre,No,2,,-8864135.14457621,5391405.98523703
65,CC-OTH-065,Clarkson Co-operative Nursery School,Social Services,Child Care (Other),Child Care Centre,1700 Mazo Cres,,Mississauga,ON,L5J 1Y9,905-855-2106,https://peelchildcare.cioc.ca/record/CDR0569,Community-Based Non-Profit Centre,No,2,139678,-8864674.68659805,5392403.94385273
66,CC-PLP-028,Clifton (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2389 Cliff Rd,,Mississauga,ON,L5A 2P1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0991,School-Based Centre,Yes,7,118130,-8861167.76377275,5401291.53837966
67,CC-OTH-067,Closer to Home Child Care,Social Services,Child Care (Other),Child Care Centre,3955 Cottrelle Blvd ,"5,6,7",Brampton,ON,L6P 2P9,905-913-0144,https://peelchildcare.cioc.ca/record/CDR0396,Community-Based For-Profit Centre,No,10,262032,-8867686.37009345,5432060.63113005
68,CC-FDC-004,Collegeside Early Learning Centre (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,7899 McLaughlin Rd ,,Brampton,ON,L6V 1G6,905-450-1996,https://peelchildcare.cioc.ca/record/CDR0428,Community-Based Non-Profit Centre,No,4,271146,-8876496.41676017,5412412.5607396
69,CC-YMC-027,Hanson Road (YMCA),Social Services,Child Care (YMCA),Child Care Centre,30 Hanson Rd,,Mississauga,ON,L5B 3A7,905-270-4137,https://peelchildcare.cioc.ca/record/CDR0446,Community-Based Non-Profit Centre,No,7,4788,-8863913.52414882,5401626.09669126
70,CC-PLP-030,Cooksville Creek (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5100 Salishan Cir,,Mississauga,ON,L5R 3E3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0713,School-Based Centre,Yes,5,296969,-8867611.27334477,5404819.66530557
71,CC-PLP-031,Copeland (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5 Young Dr,,Brampton,ON,L6Y 0P4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0789,School-Based Centre,Yes,4,250527,-8879155.00404322,5411491.37731083
72,CC-PLP-032,Corliss (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3730 Corliss Cres,,Mississauga,ON,L4T 2Z4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1041,School-Based Centre,No,5,62527,-8865043.96016132,5423370.01181453
73,CC-PLP-033,Corsair (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2230 Corsair Rd,,Mississauga,ON,L5A 2L9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0685,School-Based Centre,No,7,259398,-8860981.97845434,5400408.14255834
74,CC-OTH-069,Countryside Montessori and Private School,Social Services,Child Care (Other),Child Care Centre,1 Loring Dr,,Caledon,ON,L7E 1Y1,905-951-3359,https://peelchildcare.cioc.ca/record/CAL0058,Community-Based For-Profit Centre,No,5,287039,-8873802.24505927,5443813.20057295
75,CC-OTH-071,Creative Children's Montessori School,Social Services,Child Care (Other),Child Care Centre,16 Parr Blvd,,Caledon,ON,L7E 4H1,905-951-8606,https://peelchildcare.cioc.ca/record/CAL0268,Community-Based For-Profit Centre,No,5,293753,-8872625.26887394,5442707.39213129
76,CC-YMC-015,Credit Valley (YMCA),Social Services,Child Care (YMCA),Child Care Centre,2365 Credit Valley Rd,,Mississauga,ON,L5M 4G8,905-828-9295,https://peelchildcare.cioc.ca/record/CDR0499,School-Based Centre,Yes,8,294541,-8872922.18642636,5396755.48715403
77,CC-YMC-016,Derry West Village (YMCA),Social Services,Child Care (YMCA),Child Care Centre,620 Twain Ave,,Mississauga,ON,L5W 1M1,1-647-273-3514,https://peelchildcare.cioc.ca/record/CDR1090,School-Based Centre,Yes,11,304035,-8874737.54587732,5409983.60942781
78,CC-YMC-017,Derry Woods YMCA,Social Services,Child Care (YMCA),Child Care Centre,6970 Lisgar Dr,,Mississauga,ON,L5N 8C8,905-824-3692,https://peelchildcare.cioc.ca/record/CDR0559,Community-Based Non-Profit Centre,No,10,,-8881510.34996829,5400021.93668049
79,CC-OTH-072,Discovery Montessori - Ninth Line Campus (The),Social Services,Child Care (Other),Child Care Centre,6553 Ninth Line,,Mississauga,ON,L5N 7B9,905-824-9246,https://peelchildcare.cioc.ca/record/CDR0594,Community-Based For-Profit Centre,No,10,160110,-8880883.05174879,5398925.3878553
80,CC-PLP-034,Divine Mercy (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2840 Duncairn Dr,,Mississauga,ON,L5M 5C6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0707,School-Based Centre,Yes,9,284143,-8874852.34438043,5397574.41879734
81,CC-PLP-035,Dixie (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1120 Flagship Dr,,Mississauga,ON,L4Y 2K1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0686,School-Based Centre,Yes,3,109716,-8860615.43430464,5404993.01928568
82,CC-PLP-036,Dorset Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,100 Dorset Dr,,Brampton,ON,L6T 2Y9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0745,School-Based Centre,Yes,7,68794,-8872049.91928753,5421611.94923418
83,CC-PLP-037,Dunrankin Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3700 Dunrankin Dr,,Mississauga,ON,L4T 1V9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1138,School-Based Centre,Yes,5,16709,-8864450.86627685,5422679.34039557
84,CC-PLP-038,Eagle Plains (PLASP),Social Services,Child Care (PLASP),Child Care Centre,40 Eagle Plains Dr,,Brampton,ON,L6R 2X8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0796,School-Based Centre,No,10,309520,-8876896.93646517,5430459.90781744
85,CC-PLP-039,Eastbourne (PLASP),Social Services,Child Care (PLASP),Child Care Centre,702 Balmoral Dr,,Brampton,ON,L6T 1X3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0743,School-Based Centre,Yes,7,241601,-8871742.15612902,5422502.40776546
86,CC-OTH-075,Eden Day Care Inc.,Social Services,Child Care (Other),Child Care Centre,3051 Battleford Rd,,Mississauga,ON,L5N 5Z9,905-824-5153,https://peelchildcare.cioc.ca/record/CDR0519,Community-Based Non-Profit Centre,No,9,12007,-8878843.42316241,5400571.76400033
87,CC-PLP-040b,Edenrose Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1342 Edenrose St,,Mississauga,ON,L5V 1K9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0555,School-Based Centre,No,6,,-8869456.97407722,5400525.1001409
88,CC-YMC-019,Edenbrook Hill (YMCA),Social Services,Child Care (YMCA),Child Care Centre,61 Edenbrook Hill Dr,,Brampton,ON,L7A 1X6,905-451-1400 ext 483,https://peelchildcare.cioc.ca/record/CDR0732,School-Based Centre,Yes,6,248807,-8884221.65476713,5418462.89327745
89,CC-OTH-076,Educare Children's Centre,Social Services,Child Care (Other),Child Care Centre,1615 Bloor St,,Mississauga,ON,L4X 1S2,905-625-7871,https://peelchildcare.cioc.ca/record/CDR0444,Community-Based Non-Profit Centre,No,3,239153,-8860013.56057248,5406999.65636076
90,CC-OTH-078,Elite Montessori School,Social Services,Child Care (Other),Child Care Centre,6395 Mississauga Rd,,Mississauga,ON,L5N 1A5,905-567-6600,https://peelchildcare.cioc.ca/record/CDR0544,Community-Based For-Profit Centre,No,11,351151,-8875878.39619218,5403246.56479694
91,CC-YMC-020,Ellwood (YMCA),Social Services,Child Care (YMCA),Child Care Centre,35 Ellwood Dr E,,Caledon,ON,L7E 2A7,416-454-5535,https://peelchildcare.cioc.ca/record/CDR0600,School-Based Centre,Yes,5,350922,-8875427.13363953,5446156.37637021
92,CC-OTH-079,Erin Mills Co-Op Nursery,Social Services,Child Care (Other),Child Care Centre,2264 Council Ring Rd,,Mississauga,ON,L5L 1B7,905-820-5599,https://peelchildcare.cioc.ca/record/CDR0467,Community-Based Non-Profit Centre,No,8,308060,-8869403.87653145,5394050.58466416
93,CC-YMC-073,Williamsport (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1320 Williamsport Dr,,Mississauga,ON,L4X 2T6,905-625-5624,https://peelchildcare.cioc.ca/record/CDR0445,Community-Based Non-Profit Centre,No,3,,-8860655.09087809,5406907.82736773
94,CC-OTH-081,Eureka Kids,Social Services,Child Care (Other),Child Care Centre,130 Mineola Rd E,,Mississauga,ON,L5G 2E7,905-838-0209,https://peelchildcare.cioc.ca/record/CDR0588,Community-Based For-Profit Centre,No,1,,-8859629.8619015,5398200.9923162
95,CC-FDC-008,Fairlawn (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,40 Fairlawn Blvd,,Brampton,ON,L6P 2X4,416-922-3434,https://peelchildcare.cioc.ca/record/CDR1033,School-Based Centre,Yes,10,390124,-8875046.37059115,5429600.72895645
96,CC-PLP-041,Fairview (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3590 Joan Dr,,Mississauga,ON,L5B 1T8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0688,School-Based Centre,Yes,7,266407,-8865125.31766436,5402001.98062845
