X,Y,OBJECTID,NAME,ADDRESS,TOWN,MUNICIPALITY,POSTAL_CODE,PHONE,FAX,PROFIT_TYPE,AGES,HOURS,INTERSECTION,SUBSIDY,ACCESSIBILITY,PARKING,WEBSITE,GlobalID,LANGUAGE,CWELCC
673645.768,4868311.58,739,Norman G Powers YMCA Before and After School Program,1555 Coldstream Drive,OSHAWA,OSHAWA,L1K 3B5,(289) 928-0745,,0,44m - 12yrs, 6:30:00AM -  6:30:00PM,Townline Rd and Coldstream Dr,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{DA6D04E3-D7C6-479E-967A-2BE099224EB1},,Yes
670953.805,4858024.231,740,Alpha's Bilingual Childcare Inc.,1200 Phillip Murray Ave Unit 1-4,OSHAWA,OSHAWA,L1J 6Z8,(416) 856-5646,,1,Infant - 6yrs, 6:00:00AM -  6:00:00PM,Phillip Murray and Stevenson,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.alphasbilingualchildcare.com,{5756FBFA-8498-4495-8F28-37BD96526ABE},,No
656852.631,4860888.115,741,"Smart Start Learning Centre & Childcare, Williamson","201 Williamson Drive W, Unit 1-3",AJAX,AJAX,L1T 0J8,(905) 424-7762,,1,Infant - 12yrs, 6:30:00AM -  6:30:00PM,Westney and Williamson,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.smartstartlearningdaycares.com,{582E7559-EB7F-4FC4-A474-9A4DF606CA2D},,Yes
657733.452,4856787.226,742,"Helping Hands Daycare, Westney",458 Fairall Street,AJAX,AJAX,L1S 1R6,(905) 427-4900,,1,Infant - 12yrs, 6:30:00AM -  6:15:00PM,Westney and Fairall Street,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.helpinghandsdaycare.ca,{67543785-D5ED-410F-BAF0-0E6DAAE806FE},,Yes
651053.928,4885687.151,744,Joseph Gould YMCA Child Care Centre,144 Planks Lane,UXBRIDGE,UXBRIDGE,L9P 1M6,(905) 862-2750,,0,18m - 12yrs, 7:00:00AM -  6:00:00PM,Reach St and Franklin,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{DD0D7125-3311-4039-A59D-9CE6D3B7966C},,Yes
662469.738,4869682.672,745,St. Bridget YMCA Before and After School,200 Carnwith Drive West,BROOKLIN,WHITBY,L1M 2J8,(289) 928-2274,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Carnwith Drive and Ashburn Road,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{A4655201-4BED-4255-B2CD-B517883AA083},,Yes
673564.093,4862726.531,747,Clara Hughes Early Learning & Child Care Centre,610 Taylor Avenue,OSHAWA,OSHAWA,L1H 2E7,(905) 404-8012,,0,18m - 12yrs, 6:45:00AM -  6:00:00PM,Wilson Rd and Olive Ave,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.durham.ca,{85308BD2-C975-4D5B-864A-6307E37D1C08},,Yes
677709.793,4864757.409,748,Courtice North YMCA Before and After School,1675 Nash Road,COURTICE,CLARINGTON,L1E 2Y4,(289) 927-6734,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Trulls Rd and Nash Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{CE305D3B-6A17-4180-8C6A-B48A0349652E},,Yes
651632.405,4853657.364,749,Helping Hands Daycare (Pickering),734 Kingston Road Suite 201,PICKERING,PICKERING,L1V 1A8,(905) 837-2273,,1,Infant - 12yrs, 6:30:00AM -  6:00:00PM,Kingston Rd and Whites Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.helpinghandsdaycare.ca,{6ED4700A-F426-4E50-B0D3-B043A0B68702},,Yes
653428.262,4854180.893,750,Montessori Casa Private School and Childcare Ltd.,1203 St. Martin's Drive,Pickering,PICKERING,L1W 1M9,(905) 837-0000,,1,18m - 6yrs, 7:30:00AM -  5:30:00PM,Liverpool and Bayly,No,Wheelchair Accessible Outside Only,Parking On site,,{8080D278-61F9-43AF-A108-45CA740B8214},,No
676613.383,4862729.594,751,"Compass ELC, Courtice",78 Glenabby Drive,COURTICE,CLARINGTON,L1E 2B6,(905) 432-7630,,0,Infant - 12yrs, 6:30:00AM -  6:00:00PM,Glenabbey Dr & Prestonvale Rd,Yes,Wheelchair Accessible Inside and Outside,Parking On site,http://www.compasselc.com,{5A0F273F-B3B0-47A8-AE77-245059FF1A7F},,Yes
692702.952,4864753.585,752,"P.R.Y.D.E., St. Francis of Assisi",1774 Rudell Crescent,NEWCASTLE,CLARINGTON,L1B 1E2,(905) 987-5727,,0,30m - 12yrs, 7:00:00AM -  6:00:00PM,Highway 2 and Highway 115,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{74057DFC-322C-4E2E-989F-6570749E806E},,Yes
671018.642,4861007.275,782,"Les Lucioles, Oshawa",362 Hillside Avenue,OSHAWA,OSHAWA,L1J 6L7,(905) 728-1421,,0,Infant - 12yrs, 6:30:00AM -  6:00:00PM,Park Rd and Hillside Ave,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.lesluciolesinc.ca,{CA88B189-2BF7-454B-94C8-EF7250F88659},Bilingual,Yes
661907.729,4855202.132,784,"Helping Hands Daycare, Lakeside",60 Ashbury Boulevard,AJAX,AJAX,L1Z 1L3,(905) 427-4122,,1,Infant - 12yrs, 6:30:00AM -  6:15:00PM,Ashbury and Audley,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.helpinghandsdaycare.ca,{17C37FE2-EC6A-4C0F-9E6A-2142AF2669E6},,Yes
671698.236,4862717.878,785,Magic Pencils Learning Centre,11 Celina Street,OSHAWA,OSHAWA,L1H 4M9,(905) 436-7474,,1,Infant - 12yrs, 6:00:00AM -  6:00:00PM,Athol St E and King St East,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",,{116F610E-C88C-4561-A105-C4D94F862166},,Yes
656174.154,4858914.584,787,"P.R.Y.D.E., St. Patrick",280 Delaney Drive,AJAX,AJAX,L1T 3N5,(905) 428-0531,,0,18m - 12yrs, 6:30:00AM -  6:00:00PM,Church Street and Delaney Drive,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{E4193411-A0C4-42F8-9224-2DC9CE6AA956},,Yes
674304.098,4886655.047,788,"Kids' Campus Child Care, Cartwright",10 Alexander Street,BLACKSTOCK,SCUGOG,L0B 1B0,(905) 725-0123,,0,68m - 12yrs, 7:00:00AM -  6:00:00PM,Old Scugog and Alexander,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.kidscampus.ca,{60840C24-B4C4-45B7-AB2E-B28717700298},,Yes
649281.551,4885448.223,789,"Stonemoor School Age, Quaker Village",291 Brock Street West Box 664,UXBRIDGE,UXBRIDGE,L9P 1G1,(905) 862-2153,,0,6y - 12yrs, 6:30:00AM -  6:00:00PM,Brock Street and Centre Street,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.uxbridge.com/stonemoor,{CC28A9C7-9E23-430C-AFF7-06664A5171B6},,Yes
663464.07,4886547.055,791,S.A. Cawker YMCA School-Age Program,16200 Old Simcoe Road,PORT PERRY,SCUGOG,L9L 1P3,(289) 927-3713,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Reach St and Old Simcoe Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{F4C8C84C-1CE5-4632-A28E-453FFB239978},,Yes
664978.157,4870200.986,792,St. John Paul II YMCA School Age,160 Cachet Boulevard,BROOKLIN,WHITBY,L1M 2Y9,(289) 927-5836,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Thickson and Carnwith Dr E,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{37BDC122-A63D-410E-B78D-3CC3F8A3FF80},,Yes
652094.766,4854025.081,794,St. Paul's On The Hill Child Care Centre,882 Kingston Road,PICKERING,PICKERING,L1V 1A8,(905) 839-2501,,0,Infant - 12yrs, 6:45:00AM -  6:15:00PM,Kingston and White's Rd,Yes,Wheelchair Accessible Inside and Outside,Parking On site,http://www.edukids.ca,{6FF01B14-D8D7-426A-A808-4487271B2F83},,Yes
671856.312,4868023.343,795,St. John Bosco YMCA School Age Program,1600 Clearbrook Drive,OSHAWA,OSHAWA,L1K 2P6,(289) 923-1107,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Clearbrook Dr and Coldstream Dr,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{78BF3D99-7936-4305-8247-11F353502BA7},,Yes
657839.946,4857669.613,796,"Les Lucioles, Ajax",71 Ritchie Avenue,AJAX,AJAX,L1S 5S6,(905) 427-7690,,0,18m - 12yrs, 7:00:00AM -  6:00:00PM,Westney Rd and Ritchie Ave,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.lesluciolesinc.ca,{02AADD6D-08F7-4566-9657-94E51D3CF6D1},Bilingual,Yes
666953.875,4864460.397,797,"P.R.Y.D.E., St. Mark",95 Waller Street,WHITBY,WHITBY,L1R 1Z7,(905) 721-1758,,0,18m - 12yrs, 6:30:00AM -  6:00:00PM,Thickson Road and Dryden Blvd.,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{41D52639-150C-4BF6-9B3B-4C0409EF9333},,Yes
669691.298,4861642.933,799,Waverly YMCA Child Care Centre,100 Waverly Street South,OSHAWA,OSHAWA,L1J 5V1,(905) 571-1919,,0,Infant - 12yrs, 7:00:00AM -  6:00:00PM,Stevenson Rd and Waverly St S,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{A145361B-F3D8-4A12-B0A5-D3F6F8AA8048},,Yes
655406.764,4858501.378,800,"Schoolhouse Playcare, Eagle Ridge",425 Delaney Drive,AJAX,AJAX,L1T 4N1,(905) 426-9146,,0,44m - 12yrs, 6:30:00AM -  6:30:00PM,Church Street and Delaney Drive,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.schoolhouseplaycare.ca,{CA2B28E7-F367-457D-AA3C-58C80BE49EE7},,Yes
649894.996,4870747.375,801,Me and My Friends Child Care,5067 Old Brock Road,CLAREMONT,PICKERING,L1Y 1B3,(905) 408-0123,,1,Infant - 12yrs, 6:45:00AM -  6:00:00PM,Central St and Brock Road,Yes,Wheelchair Accessible Not accessible,Parking On site,http://www.meandmyfriendschildcare.com,{52D20C94-4DBE-46C6-AEE4-8223E8251627},,Yes
694089.246,4865022.374,802,Newcastle YMCA Child Care Centre,50 Glass Court,NEWCASTLE,CLARINGTON,L1B 1M5,(905) 987-5305,,0,18m - 12yrs, 6:45:00AM -  6:00:00PM,Mill St and Edward,Yes,Wheelchair Accessible Not accessible,Parking On site,http://www.ymcagta.org,{49AD383B-380C-4B70-AE69-60FF84E268B2},,Yes
674284.402,4885977.353,803,Blackstock Co-Operative Nursery School,3440 Church Street P.O. Box 11,BLACKSTOCK,SCUGOG,L0B 1B0,(905) 986-4585,,0,30m - 5yrs, 9:00:00AM - 11:30:00AM,Church St and Old Scugog Rd,No,Wheelchair Accessible Inside and Outside,Parking On site,http://www.blackstocknurseryschool.ca,{549CCB21-69D4-4B32-AE79-D53729115D8D},,Yes
667450.395,4861270.836,804,Learning Jungle Thickson,1525 Dundas Street East,WHITBY,WHITBY,L1N 2K4,(905) 666-4700,,1,Infant - 6yrs, 7:00:00AM -  6:00:00PM,Thickson and Dundas St E,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.learningjungle.com,{CF863DB8-D953-4BB2-9F22-9D2D1B91B179},,Yes
652061.42,4852710.446,805,Colwell Nursery School and Kindergarten,755 Oklahoma Drive,PICKERING,PICKERING,L1W 2H4,(905) 839-0074,,1,18m - 12yrs, 7:00:00AM -  6:00:00PM,Whites Road and Hwy 401,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.colwellnurseryschool.com,{8BA6E308-9F5D-43A5-BEFD-DFE2F7C38331},,Yes
656503.753,4857597.114,807,The Elephant Room,545A Kingston Road West,AJAX,AJAX,L1S 6M1,(905) 683-8399,,1,Infant - 12yrs, 7:00:00AM -  6:00:00PM,Kingston Rd W and Church St,Yes,Wheelchair Accessible Inside and Outside,Parking On site,http://www.theelephantroomdaycare.com,{830B42EC-F6E3-470D-9304-E98EBECEE85F},,Yes
673703.06,4858904.771,808,Babies 'N' Blocks,1400 Ritson Road South,OSHAWA,OSHAWA,L1J 6N5,(905) 432-2632,,1,Infant - 12yrs, 6:00:00AM -  6:00:00PM,Valley Drive and Simcoe,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.babiesnblocks.ca,{F999EDF7-50B1-44EF-AE97-1D34EC8BDF0D},,Yes
650790.949,4888641.588,838,"Stonemoor Day Care, Uxbridge",763 Davis Drive,UXBRIDGE,UXBRIDGE,L9P 1R3,(905) 852-3510,,0,18m - 5yrs, 6:30:00AM -  6:00:00PM,Durham Road 1 and Davis Drive,Yes,Wheelchair Accessible Not accessible,Parking On site,http://www.uxbridge.com/stonemoor,{93BE63AD-DD41-4DD9-B1FE-3A633BD2B3ED},,Yes
673236.451,4858741.563,839,Lakewoods Early Learning & Child Care Centre,353 Chaleur Avenue,OSHAWA,OSHAWA,L1J 1G5,(905) 725-1425,,0,18m - 12yrs, 7:00:00AM -  6:00:00PM,Phillip Murray and Cedar St,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.durham.ca,{AAF633E6-29A8-4CFC-91DD-0DFC83121A84},,Yes
673884.894,4862278.204,840,Evangel Day Care Centre,374 Farewell Avenue,OSHAWA,OSHAWA,L1H 6M2,(905) 725-3191,,0,18m - 12yrs, 6:00:00AM -  6:00:00PM,Olive & Harmony,Yes,Wheelchair Accessible Not accessible,Parking On site,http://www.evangeldaycare.ca,{1B6CB141-928B-42AB-8E6B-E731A6575FC4},,Yes
660074.234,4858789.972,841,"The Apple Tree Preschool & Learning Centre, Ajax",365 Kingston Road East,AJAX,AJAX,L1Z 1W3,(905) 655-7205,,1,Infant - 12yrs, 6:30:00AM -  6:30:00PM,Salem and Kingston Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.theappletreepreschool.com,{6A546655-8DDB-4667-8395-6C69EB82836D},,Yes
649753.099,4853219.745,842,St. Monica YMCA School Age Program,275 Twyn Rivers Drive,PICKERING,PICKERING,L1V 1E3,(289) 923-1382,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Twyn Rivers Dr and Altona Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{3738820C-2F1E-4C6B-9373-96913DC3D63D},,Yes
684076.46,4863554.53,844,"Compass ELC, Bowmanville Holy Family",125 Aspen Springs Drive,BOWMANVILLE,CLARINGTON,L1C 0C6,(905) 697-3030,,0,Infant - 12yrs, 7:00:00AM -  6:00:00PM,Aspens Spring Dr and West Side Dr,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.compasselc.com,{6A9DB657-1D0C-4C67-AD50-4053EC23EA7E},,Yes
659225.888,4854342.756,846,"P.R.Y.D.E., Duffin's Bay",66 Pittman Crescent,AJAX,AJAX,L1S 3G3,(905) 626-5351,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Harwood Avenue and Clover Ridge,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{9AD9A3A3-C2BB-49E2-9A0A-9DF8D517816D},,Yes
663812.529,4885051.413,847,R.H. Cornish YMCA Before and After School Program,494 Queen Street,PORT PERRY,SCUGOG,L1L 1K2,(905) 904-0432,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Queen St and Simcoe St,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{8665D6DD-A83B-4985-97EE-FE9C0C2962AF},,Yes
685258.99,4867363.457,848,"EduKids Child Care, Bowmanville",2665 Concession Road 3,BOWMANVILLE,CLARINGTON,L1C 3K6,(905) 697-8522,,1,Infant - 12yrs, 6:30:00AM -  6:15:00PM,Liberty Street and Concession Rd 3,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.edukids.ca,{BCF5CD14-A703-4271-AD9F-0718E4B9A1A1},,Yes
664278.144,4870616.026,849,"Schoolhouse Playcare, Brooklin Village",25 Selkirk Drive,BROOKLIN,WHITBY,L1M 2L5,(905) 655-5600,,0,18m - 12yrs, 6:30:00AM -  6:30:00PM,Baldwin and Columbus,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.schoolhouseplaycare.ca,{0E2B42FD-692F-4963-B5B4-DD594D779FB3},,Yes
685540.395,4864859.099,850,Edna Thomson Early Learning & Child Care Centre,410 North Scugog Court,BOWMANVILLE,CLARINGTON,L1C 3K2,(905) 623-6717,,0,18m - 7yrs, 7:00:00AM -  6:00:00PM,Conc Rd 3 & Reg Rd 57,Yes,Wheelchair Accessible Not accessible,Parking On site,http://www.durham.ca,{7DC88C19-4146-402A-ACFC-E1795D63BED7},,Yes
677026.499,4862507.33,851,Dr. G.J. MacGillivray YMCA School Age Program,75 Meadowglade Road,COURTICE,CLARINGTON,L1E 3D7,(905) 243-1049,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Prestonvale and Bloor,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{B5824109-1C30-48DC-98E0-7A623BC77778},,Yes
664681.021,4863576.644,852,St. Matthew YMCA Child Care Centre,60 Willowbrook Drive,WHITBY,WHITBY,L1R 1S6,(905) 430-1747,,0,18m - 12yrs, 6:45:00AM -  6:00:00PM,Brock and Rossland Road,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{AB80AABC-F19C-4514-AEEC-6F12F37BA922},,Yes
663922.876,4869002.389,853,Brooklin Day Nursery,14 Church Street,WHITBY,WHITBY,L1M 1A5,(905) 655-3864,,0,Infant - 12yrs, 7:00:00AM -  6:00:00PM,Winchester Rd (#7) and Hwy #12,Yes,Wheelchair Accessible Not accessible,Parking On site,,{89487718-2A03-4F75-A19F-9ED78D34B9D2},,Yes
663777.626,4869050.616,854,Brooklin Mill Montessori School Inc.,25 Cassels Road East,BROOKLIN,WHITBY,L1M 1A4,(905) 655-0656,,1,Infant - 6yrs, 7:00:00AM -  6:00:00PM,Baldwin St N and Winchester Rd E,No,Wheelchair Accessible Inside and Outside,Parking On site,http://www.brooklinmillmontessori.ca,{308596DF-B5C7-428B-8E42-FB321E8E4E7D},,No
665455.424,4860736.156,855,Perry House Child Care Services,129 Perry Street,WHITBY,WHITBY,L1N 4B7,(905) 668-9476,,0,Infant - 12yrs, 6:30:00AM -  6:30:00PM,Brock St and Dundas St E,Yes,Wheelchair Accessible Not accessible,Parking Street Parking,http://www.perryhouse.org,{EF5F8A2C-0858-4C76-8BF8-746B821BB7AC},,Yes
667835.873,4863096.751,856,St. Paul YMCA Before & After School (Nursery School),200 Garrard Road,WHITBY,WHITBY,L1N 3K6,(905) 576-8998,,0,30m - 12yrs, 7:00:00AM -  6:00:00PM,Garrard Rd and Rossland Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{2E754C4C-F503-4909-96A5-212EE3EDCE52},,Yes
675811.728,4861844.736,857,Royal Bear Childcare Centre,701 Grandview Street North Unit 1-2B,OSHAWA,OSHAWA,L1K 0N2,(289) 240-9188,,1,Infant - 7yrs, 6:30:00AM -  6:00:00PM,Rossland Rd E and Harmony,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.royalbearchildcare.com,{7DEBFBB8-CFE2-4856-A2AA-99B649703EF1},,Yes
673755.257,4864200.358,858,Vincent Massey Oshawa Before and After School Program,211 Harmony Road North,OSHAWA,OSHAWA,L1G 6L4,(905) 436-3663,,0,44m - 12yrs, 6:30:00AM -  6:00:00PM,Harmony Rd and Adelaide,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.umbrelladaycare.com,{963F6478-3B4B-46CA-A0D9-5D7215A298A6},,Yes
665301.1,4864353.178,859,"Schoolhouse Playcare, Fallingbrook",155 Fallingbrook Street,WHITBY,WHITBY,L1R 2G2,(905) 665-5896,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Taunton Road and Anderson,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.schoolhouseplaycare.ca,{42659AC3-A9CD-4CD3-BC23-43804835D491},,Yes
668217.411,4860624.299,860,Bellwood Before and After School Program,30 Bellwood Drive,WHITBY,WHITBY,L1N 8M4,(905) 240-4904,,0,44m - 12yrs, 6:30:00AM -  6:00:00PM,Thickson and Bellwood Dr,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.umbrelladaycare.com,{9265B7B4-C75F-44ED-96BD-C470F316287A},,Yes
657947.768,4858927.911,861,"P.R.Y.D.E., St. Jude",68 Coles Avenue,AJAX,AJAX,L1T 3H5,(905) 428-9732,,0,30m - 12yrs, 6:30:00AM -  6:00:00PM,Westney Road and Highway 2,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{26A8F76E-F696-492C-802E-885FDB26EAB9},,Yes
671467.59,4867723.381,862,"Kids' Campus Child Care, Sherwood",633 Ormond Drive,OSHAWA,OSHAWA,L1K 2W6,(905) 626-7037,,0,44m - 12yrs, 6:30:00AM -  6:30:00PM,Wilson and Ormond,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.kidscampus.ca,{9B374895-E9D0-4F8A-8502-302B0E43F950},,Yes
653734.841,4857912.916,863,"Schoolhouse Playcare, Valley Farm",1615 Pepperwood Gate,PICKERING,PICKERING,L1X 2K5,(905) 686-2489,,0,18m - 12yrs, 6:45:00AM -  6:30:00PM,Brock Rd and Finch Ave,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.schoolhouseplaycare.ca,{BD6AFE5A-2B22-4726-B823-F8AA95BD5186},,Yes
665902.378,4863389.861,865,"Schoolhouse Playcare, Glen Dhu",29 Fallingbrook Street,WHITBY,WHITBY,L1R 1M7,(905) 430-1898,,0,18m - 12yrs, 6:30:00AM -  6:30:00PM,Rossland Rd and Anderson Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.schoolhouseplaycare.ca,{4A41C9E0-2D9D-4852-B4B6-D488038D9A47},,Yes
664278.133,4868931.214,866,St. Thomas' Child Care Centre,"101 Winchester Road East, PO Box 274",BROOKLIN,WHITBY,L1M 1B5,(905) 655-6226,,0,Infant - 12yrs, 6:30:00AM -  6:30:00PM,Winchester Road and Anderson,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.edukids.ca,{109E3509-17FB-4E42-902E-B92DF3AEA0CE},,Yes
