X,Y,OBJECTID,PNT_GIS_ID,NAME,ORG_NAME,CATEGORY,POSTAL_CODE,PHONE_NO,PHONE_EXT,MAIN_INTERSECTION,TYPE,SUBSIDIZED,CWELCC,PROVIDDISP,FULL_ADDRESS,UNIT_NUMBER,COMMUNITY,MUNICIPALITY
639308.594,4862415.0,19,63831,Amazing Grace Bilingual Montessori Inc.,Amazing Grace Bilingual Montessori Inc.,Child Care Centre,L6E 1A5,(905) 201-0124,,Markham Road & Bur Oak Avenue,Centre Based Child Care,No,Yes,AMAZI01,"114 Anderson Avenue, ",Unit 4-5,Markham,Markham
622243.906,4872849.0,20,232397,First Smiles Christian Daycare,11760483 CANADA INCORPORATED,Child Care Centre,L4G 2N9,(647) 812-1179,,Wellington Street & Yonge Street,Centre Based Child Care,Yes,Yes,FIRST11,101-126 Wellington Street West,,Aurora,Aurora
622984.5198,4879193.9076,21,190296,Angelic Treasures Christian Daycare - Newmarket,2719833 Ontario Inc.,Child Care Centre,L3Y 2G5,(905) 898-5437,,Davis Dr & Lorne Ave,Centre Based Child Care,Yes,Yes,ANGEL02,337 Queen Street,,Newmarket,Newmarket
634978.6159,4861831.7163,22,372527,Angus Glen Montessori,Angus Glen Montessori Inc.,Child Care Centre,L6C 0M4,(905) 534-5200,,Kennedy Road & Major Mackenzie Drive,Centre Based Child Care,Yes,No,ANGUS02,10000 Kennedy Road,,Markham,Markham
607552.7774,4854058.3572,23,254430,Angus Valley Montessori,1000359676 ONTARIO INC.,Child Care Centre,L0J 1C0,,,Major Mackenzie Rd & HWY 50,Centre Based Child Care,No,No,ANGUS04,10356 Huntington Road,,Kleinburg,Vaughan
623373.8237,4857402.5396,24,389724,Anne Frank Public Elementary School,,Child Care Centre,L6A 0X2,(905) 265-7458,,Major Mac/Ilan Ramon,Centre Based Child Care,Yes,Yes,ANNE 01,431 Ilan Ramon Boulevard,,Vaughan,Vaughan
635356.7343,4860939.0428,25,356843,Apple Blossoms Center Inc.,Apple Blossoms Center Inc.,Child Care Centre,L6C 0A2,(905) 888-0900,,Kennedy Road &16th Avenue,Centre Based Child Care,No,Yes,APPLE06,50 Bur Oak Avenue ,Units 1-3,Markham,Markham
638496.8714,4869360.2269,26,269688,Apple Blossoms Center Stouffville,Apple Blossoms Center Stouffville Inc.,Child Care Centre,L4A 8C1,(905) 642-2888,,Markham Rd. & Main St.,Centre Based Child Care,Yes,Yes,APPLE08,21 Ringwood Drive,,Stouffville,Whitchurch-Stouffville
618375.8532,4850243.4929,27,412296,Apple Mill Road YMCA Child Care (David Braley) CC),YMCA of Greater Toronto,Child Care Centre,L4K 0J8,(905) 326-9622 ,Ext.7,Jane St & Highway 7,Centre Based Child Care,Yes,Yes,APPLE09,200 Apple Mill Road,,Vaughan,Vaughan
638868.0716,4855225.0038,28,36084,Armadale Child Care Centre,Family Day Care Services,Child Care Centre,L3S 2J4,(905) 472-5497,,McCowan Road & Denison Avenue,Centre Based Child Care,Yes,Yes,ARMAD01,11 Coppard Avenue,,Markham,Markham
622719.2694,4876724.2951,29,127385,Upper Canada Child Care at Armitage Village PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3X 1R1,(905) 830-9719,,Yonge Street & Mulock Drive,Centre Based Child Care,Yes,Yes,UPPER03,125 Savage Road,,Newmarket,Newmarket
625335.4311,4880809.0168,30,155628,Upper Canada Child Care Nursery School,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3Y 2W9,(905) 898-3708,,Davis Drive & Leslie Street,Centre Based Child Care,Yes,Yes,UPPER04,1035 Wayne Drive,,Newmarket,Newmarket
625586.1642,4880914.2995,31,291507,Art of Life Nursery and Montessori School,Art of Life Nursery and Montessori School Inc.,Child Care Centre,L3Y 3E3,(905) 953-8898,,Leslie Street & Davis Drive,Centre Based Child Care,Yes,Yes,ART O05,18- 17665 Leslie Street,,Newmarket,Newmarket
623331.2188,4879527.2551,32,149212,Simcoe Street Montessori School,Simcoe Steet Montessori School Inc.,Child Care Centre,L3Y 2M5,(905) 836-9898,,Davis Drive & Main Street,Centre Based Child Care,Yes,Yes,SIMCO03,443 Simcoe Street,,Newmarket,Newmarket
631794.3589,4859061.1615,33,40506,Upper Canada Child Care at Ashton Meadows PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L6C 1T5,(905) 887-2539,,Woodbine Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,UPPER05,230 Calvert Road,,Markham,Markham
623749.531,4855420.5,34,265036,As-Sadiq Day Care,As-Sadiq Islamic Schools,Child Care Centre,L4J 8A7,(905) 695-1588,,Bathurst and Rutherford,Centre Based Child Care,Yes,Yes,AS-SA02,9000 Bathurst Street,,Thornhill,Vaughan
625947.7391,4878875.3416,35,341502,Atscott Pre-School Academy,Atscott Pre-School Academy Inc.,Child Care Centre,L3Y 9A2,(905) 953-5437,,Leslie Street & Davis Drive,Centre Based Child Care,No,No,ATSCO01,16945 Leslie Street,,Newmarket,Newmarket
624547.9627,4872370.4091,36,259261,Aurora Grove Kids Club,York Professional Care & Education Inc.,Child Care Centre,L4G 6Z5,(905) 503-0260,,Bayview Ave /Stone Road,Centre Based Child Care,Yes,Yes,AUROR04,415 Stone Road,,Aurora,Aurora
616483.305,4851888.118,37,273369,Wee Watch - Aurora/King,Aurora Day Care Services Inc.,Child Care Centre,L4K 1Z8,(647) 933-1153,,Weston Road & Langstaff Road,Home Based  Child Care,Yes,Yes,WEE W08,"7250 Keele Street, ",Unit 387,Vaughan,Vaughan
622346.5828,4873447.089,38,258636,Aurora Heights YMCA School Age,YMCA of Greater Toronto,Child Care Centre,L4G 2X5,(905) 713-6767,,Yonge Street & Wellington Street,Centre Based Child Care,Yes,Yes,AUROR10,85 Tecumseh Drive,,Aurora,Aurora
623169.344,4874978.0,39,122017,Aurora Montessori School,Aurora Montessori School Inc.,Child Care Centre,L4G 4C3,(905) 841-0065 ,Ext.302,Industrial Parkway & St. John's Sideroad,Centre Based Child Care,No,No,AUROR18,330 Industrial Parkway North,,Aurora,Aurora
623474.8041,4873270.7703,40,126758,Aurora Early Learning Centre,2453221 Ontario Inc.,Child Care Centre,L4G 1K1,(905) 713-1122,,Yonge & Industrial Parkway,Centre Based Child Care,Yes,Yes,AUROR19,138 Centre Street,,Aurora,Aurora
637437.2092,4877885.6277,41,174145,Ballantrae Child Care Centre,Ballantrae Child Care Centre Inc.,Child Care Centre,L4A 7X4,(905) 640-2152,,Aurora Sideroad & Highway 48,Centre Based Child Care,Yes,Yes,BALLA04,5632 Aurora Road,,Stouffville,Whitchurch-Stouffville
642370.4053,4869928.1961,42,376966,Barbara Reid Child Care Centre,Friends of Mine Childcare,Child Care Centre,L4A 1S5,(905) 591-2231,,Hoover Park Drive & Tenth Line,Centre Based Child Care,Yes,Yes,BARBA01,130 Hoover Park Drive,,Stouffville,Whitchurch-Stouffville
630243.3706,4906668.3045,43,359242,Upper Canada Child Care at Sutton PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L0E 1R0,(905) 722-9855,,Baseline Road & Dalton Road,Centre Based Child Care,Yes,Yes,UPPER06,5147 Baseline Road,,Sutton West,Georgina
626992.8083,4853886.6482,44,66086,Upper Canada Child Care at Baythorn PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3T 3V2,(905) 889-7436,,Yonge Street & John Street,Centre Based Child Care,Yes,Yes,UPPER07,201 Baythorn Drive,,Thornhill,Markham
628166.4419,4857883.0387,45,106845,Bayview Hill Child Care Centre,Family Day Care Services,Child Care Centre,L4B 2J5,(905) 508-7671,,Bayview Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,BAYVI03,81 Strathearn Avenue,,Richmond Hill,Richmond Hill
630026.8166,4852983.8749,46,34312,Bayview Fairways B & A School Program,Family Day Care Services,Child Care Centre,L3T 2Z6,(905) 881-3129,,John Street &  Bayview Fairways,Centre Based Child Care,Yes,Yes,BAYVI04,255 Bayview Fairways Drive,,Thornhill,Markham
629290.3473,4852086.3846,47,59634,Bayview Glen Before & After School Program,,Child Care Centre,L3T 2V5,(905) 265-7458,,Bayview Avenue/Limcombe,Centre Based Child Care,Yes,Yes,BAYVI06,42 Limcombe Drive,,Markham,Markham
630038,4856125,48,114797,Bayview Elite Learning Centre,Golden 88 Investments Ltd.,Child Care Centre,L4B 3B6,(905) 882-4809,,Leslie Street & Highway 7,Centre Based Child Care,Yes,Yes,BAYVI07,9011 Leslie Street ,Units 105,Richmond Hill,Richmond Hill
637071.75,4856108.0,49,42340,Beckenridge Discovery Preschool,Beckenridge Discovery Preschool Inc.,Child Care Centre,L3S 3K7,(905) 944-9200,,Brimley Avenue & 14th Avenue,Centre Based Child Care,Yes,Yes,BECKE01,4813 14th Avenue,,Markham,Markham
625782.4368,4862049.7975,50,86637,Bernard Junior Y,YMCA of Greater Toronto,Child Care Centre,L4S 1E1,(905) 884-6604,,Elgin Mills & Yonge Street,Centre Based Child Care,Yes,Yes,BERNA04,245 Bernard Avenue,,Richmond Hill,Richmond Hill
621825.8712,4873622.4322,51,159699,Best Friends,605061 Ontario Ltd,Child Care Centre,L4G 3Z4,(905) 552-0610 ,Ext.3,Wellington Street & Yonge Street,Centre Based Child Care,Yes,Yes,BEST 02,70 Devins Drive,,Aurora,Aurora
622981.3188,4855899.1426,52,240284,Beth Sholom First Foundations Community Preschool,First Foundations Jewish Community Preschools,Child Care Centre,L6A 1S2,(204) 939-0931,,Rutherford Road & Bathurst St,Centre Based Child Care,No,Yes,BETH 01,"1076 Rutherford Road, ",Unit 1,Vaughan,Vaughan
634525.313,4859020.5,53,55617,Between Friends,605061 Ontario Ltd,Child Care Centre,L3R 1Z9,(905) 475-3011,,Warden & Highway 7,Centre Based Child Care,Yes,Yes,BETWE02,120 Carlton Road,,Markham,Markham
625466.6984,4878324.5624,54,163091,Bev Bernier Child Care Centre,York Child Development and Family Services Inc.,Child Care Centre,L3Y 8H1,(905) 830-4425,,Mulock Drive & College Manor Drive,Centre Based Child Care,Yes,Yes,BEV B01,505 Pickering Crescent,,Newmarket,Newmarket
622742.2676,4863641.2179,55,375363,Beynon Fields Before and After School Program,Le Club Child Care Program,Child Care Centre,L4E 0R9,(905) 881-8585,,Jafferson Side Rd and Bathurst St,Centre Based Child Care,Yes,Yes,BEYNO01,258 Selwyn Road,,Richmond Hill,Richmond Hill
611166.25,4852261.0,56,132376,Bizzy Buddies II,Bizzy Buddies Learning & Childcare Centre Inc.,Child Care Centre,L4H 1M4,(905) 893-3400,,Rutherford Road & Islington Avenue,Centre Based Child Care,Yes,Yes,BIZZY03,75 Napa Valley Avenue  ,Unit #6,Woodbridge,Vaughan
618455.656,4855593.0,57,206198,Blessed Trinity School Age Program - B & A School,Community of Maple Child Care Services,Child Care Centre,L6A 2R2,(905) 832-4850,,Melville Road & Rutherford Road,Centre Based Child Care,Yes,Yes,BLESS02,230 Hawker Road,,Maple,Vaughan
634678.5361,4858184.0865,58,8227,Upper Canada Child Care at St. John XXIII CES,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3R 1V8,(905) 477-3883,,Warden Avenue & Highway 7,Centre Based Child Care,Yes,Yes,UPPER45,125 Krieghoff Avenue,,Unionville,Markham
639817.7665,4871441.1193,59,427592,Blessed Chiara Badano Child Care Centre,The Village – Children’s Programs,Child Care Centre,L4A 4X5,(647) 202-0713,,Main Street & Ninth Line,Centre Based Child Care,Yes,Yes,BLESS03,55 Meridian Drive,,Stouffville,Whitchurch-Stouffville
622296.375,4900132.0,60,185663,BlissRoot Childcare Centre,,Child Care Centre,L4P 1J4,(416) 875-3088,,The Queensway S & Shurch Street,Centre Based Child Care,No,No,BLISS02,177 Church Street,,Keswick,Georgina
631631.063,4858375.5,61,55878,Blooming Lives Montessori Inc.,Blooming Lives Montessori Inc,Child Care Centre,L3R 0K1,(905) 604-9201,,16th Avenue & Woodbine Avenue,Centre Based Child Care,No,No,BLOOM03,9201 Woodbine Avenue,,Markham,Markham
622630.688,4868545.5,62,73468,Bloomfield Junior Academy Montessori School,2287634 ONTARIO LIMITED,Child Care Centre,L4E 2H8,(289) 234-7711,,Yonge Street & Bloomington,Centre Based Child Care,Yes,Yes,BLOOM04,2 Bloomfield Trail ,Unit 1-2,Richmond Hill,Richmond Hill
635483.8151,4859315.1395,63,41316,Blossoms,605061 Ontario Ltd,Child Care Centre,L3R 2H2,(905) 470-1822,,Kennedy Road & 16th Avenue,Centre Based Child Care,Yes,Yes,BLOSS02,300 Main Street,,Unionville,Markham
616031.125,4849807.499,64,125702,Blue Willow Before & After School Program,Le Club Child Care Program,Child Care Centre,L4L 9E1,(905) 881-8585,,Weston Road & Highway 7,Centre Based Child Care,Yes,Yes,BLUE 03,250 Blue Willow Drive,,Woodbridge,Vaughan
625127.2244,4878434.9844,65,167817,Bogart Child Care Centre,York Child Development and Family Services Inc.,Child Care Centre,L3Y 8G7,(905) 830-5052,,Mulock Drive/College Manor,Centre Based Child Care,Yes,Yes,BOGAR03,855 College Manor Drive,,Newmarket,Newmarket
623205.312,4878831.75,66,126453,Botsford Academy,Botsford Day Care Centre Inc.,Child Care Centre,L3Y 1S7,(905) 853-3300,,Lorne and Botsford,Centre Based Child Care,Yes,Yes,BOTSF03,373 Botsford Street,,Newmarket,Newmarket
641092.1996,4857300.7469,67,32538,Boxwood School Age Program,Family Day Care Services,Child Care Centre,L3S 3P7,(905) 305-8974 ,Ext.234,14th Avenue & Markham Road,Centre Based Child Care,Yes,Yes,BOXWO01,30 Boxwood Crescent,,Markham,Markham
637670.9716,4854264.8821,68,50437,Brimley-Steeles Montessori School,2508066 Ontario Inc.,Child Care Centre,L3R 7B4,(647) 996-9619,,,Centre Based Child Care,Yes,Yes,BRIML03,5000 Steeles Avenue East,,Markham,Markham
623769.1628,4851437.3134,69,215612,Brownridge Junior Y,YMCA of Greater Toronto,Child Care Centre,L4J 7R8,(905) 660-6676,,Bathurst Street & Clark Street,Centre Based Child Care,Yes,Yes,BROWN03,65 Brownridge Drive,,Thornhill,Vaughan
630059.8549,4896972.2759,70,248493,EarlyON Brown Hill Tract Mobile,,EarlyON Program,L0G 1M0,(905) 476-3834,,Ravenshoe Road and McCowen Road,Centre Based Child Care,No,No,EARL125,4389 Ravenshoe Road,,East Gwillimbury,East Gwillimbury
624372.1001,4852792.2164,71,262487,Upper Canada Child Care at Westmount CI,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L4J 8G3,(905) 882-9551,,Bathurst Street/Centre,Centre Based Child Care,Yes,Yes,UPPER08,1000 New Westminster Drive Suite 101,,Thornhill,Vaughan
632163.813,4858162.25,72,20229,Upper Canada Child Care at Buttonville PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3R 9C2,(905) 946-1216,,Woodbine Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,UPPER09,141 John Button Boulevard,,Markham,Markham
622207.438,4880033.0,73,193595,Upper Canada Child Care at Canadian Martyrs CES,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3Y 6R5,(905) 836-9078,,Yonge Street & Davis Drive,Centre Based Child Care,Yes,Yes,UPPER10,170 London Road,,Newmarket,Newmarket
622340.729,4859356.366,74,337000,Carnegie Child Care Centre,Kids Connection Care & Education,Child Care Centre,L6A 0G1,(905) 879-6006,,Bathurst Street & Teston Road,Centre Based Child Care,Yes,Yes,CARNE02,575 Via Romano Boulevard,,Vaughan,Vaughan
636221.6443,4861889.4998,75,8111,Castlemore School Age Program,YMCA of Greater Toronto,Child Care Centre,L6C 2R5,(416) 418-6606,,Major Mackenzie Drive & Kennedy Road,Centre Based Child Care,Yes,Yes,CASTL03,256 Ridge Crest Road,,Markham,Markham
603730.7769,4861706.8857,76,135584,Cedar Glen YMCA Child Care,YMCA of Greater Toronto,Child Care Centre,L0G 1T0,(905) 859-9622 ,Ext.300,King Side Road & 11th Concession,Centre Based Child Care,Yes,Yes,CEDAR02,13300 11th Concession,,Schomberg,King
626838.0205,4861518.855,77,88837,LoveView Early Learning Centre,TET Management Inc.,Child Care Centre,L4S 1M7,(905) 237-3808,,Bayview Avenue & Elgin Mills Road,Centre Based Child Care,Yes,Yes,LOVEV01,119-10856 Bayview Avenue,,Richmond Hill,Richmond Hill
616708.719,4850804.0,78,120120,Centered On Children Child Care Centre,Centered on Children Child Care Centre,Child Care Centre,L4L 0J6,(905) 856-5437,,Highway 7 & Weston Road,Centre Based Child Care,Yes,Yes,CENTE02,8201 Weston Road,,Woodbridge,Vaughan
637211.1788,4859967.541,79,61846,Central Park Child Care Centre,YMCA of Greater Toronto,Child Care Centre,L3P 7G2,(905) 940-3274,,16th Avenue & McCowan Road,Centre Based Child Care,Yes,Yes,CENTR01,100 Central Park Drive,,Markham,Markham
626907.625,4850714.75,80,241117,Central Montessori School of Thornhill,Central Montessori Thornhill Campus & Private School Inc.,Child Care Centre,L4J 1A1,(905) 889-0012,,Yonge Street & Steeles Avenue,Centre Based Child Care,Yes,Yes,CENTR03,72 Steeles Avenue West,,Thornhill,Vaughan
623862.2694,4867425.66,81,76912,Centres éducatifs de L'AFRY Campus Richmond Hill,Association des francophones de la region de York Inc,Child Care Centre,L4E 2T2,(289) 552-5200,,Yonge Street & Regatta,Centre Based Child Care,Yes,Yes,CENTR04,13200 Yonge Street,,Richmond Hill,Richmond Hill
625062.1155,4861977.1216,82,86743,Century Private School,9238689 Canada Corporation,Child Care Centre,L4S 1L6,(905) 737-1160,,Yonge Street & Elgin Mills Road,Centre Based Child Care,Yes,No,CENTU05,11181 Yonge Street,,Richmond Hill,Richmond Hill
631674.0526,4858227.2459,83,67258,Chapel Place Daycare Centre,Chapel Place Daycare Centre,Child Care Centre,L3R 9C4,(905) 946-8307,,Woodbine Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,CHAPE03,8 Chapel Place,,Markham,Markham
623546.3111,4850389.9917,84,173094,Charlton First Base Centre,YMCA of Greater Toronto,Child Care Centre,L4J 6J5,(905) 482-2247,,Dufferin Street & Steeles Avenue,Centre Based Child Care,Yes,Yes,CHARL03,121 Joseph Aaron Boulevard,,Thornhill,Vaughan
628943.052,4862040.012,85,329506,Childventures Early Learning Academy-Richmond Hill,Childventures Early Learning Academy Inc.,Child Care Centre,L4S 0B2,(905) 737-5505,,Leslie Street & Elgin Mills,Centre Based Child Care,Yes,Yes,CHILD14,,Unit 6-10775 Leslie Street,Richmond Hill,Richmond Hill
623662.0904,4856156.716,86,364062,Childventures Early Learning Academy - Vaughan,Childventures Early Learning Academy Inc.,Child Care Centre,L6A 4N9,(905) 303-5090,,Bathurst Street & Rutherford Road,Centre Based Child Care,Yes,Yes,CHILD15,9306 Bathurst Street Building 1 ,Unit 201,Maple,Vaughan
627645.4821,4873891.2103,87,383649,Childventures Early Learning Academy Aurora,Childventures Early Learning Academy Inc.,Child Care Centre,L4G 0Z6,(905) 841-2680,,Wellington Street E & Leslie Street,Centre Based Child Care,Yes,Yes,CHILD18,95 Eric T Smith Way ,Unit 5,Aurora,Aurora
628549.5714,4861156.1019,88,90351,Christians Day Care Centre,Among Friends Day Care Centre,Child Care Centre,L4S 2H1,(905) 552-0610 ,Ext.3,Leslie Street & Elgin Mills Road,Centre Based Child Care,Yes,Yes,CHRIS08,275 Redstone Road,,Richmond Hill,Richmond Hill
640098.9108,4869712.7564,89,183551,Christ Church Child Care Centre,Christ Church Child Care Centre,Child Care Centre,L4A 3R1,(905) 640-8642,,Main Street & Ninth Line,Centre Based Child Care,Yes,Yes,CHRIS03,254 Sunset Boulevard,,Stouffville,Whitchurch-Stouffville
628866.063,4857224.25,90,109445,Christ The King Child Care Centre,Kids Connection Care & Education,Child Care Centre,L4B 2E1,(905) 771-6247,,16th Avenue & Leslie Street,Centre Based Child Care,Yes,Yes,CHRIS06,329 Valleymede Drive,,Richmond Hill,Richmond Hill
628827.6109,4856829.3329,91,110971,Circle of Friends Daycare Centre,605061 Ontario Ltd,Child Care Centre,L4B 2B1,(905) 882-4840,,Leslie & 16th Avenue,Centre Based Child Care,Yes,Yes,CIRCL04,124 Blackmore Avenue,,Richmond Hill,Richmond Hill
619950.6394,4856925.2278,92,340142,City of Vaughan Recreation Program,The Corporation of the City of Vaughan,Child Care Centre,L6A 1T1,(905) 832-8540 ,Ext.7659,Keele Street & Major Mackenzie Drive East,Centre Based Child Care,Yes,No,CITY 10,2141 Major Mackenzie Drive,,Vaughan,Vaughan
621168.5143,4877079.4741,93,266307,Upper Canada Child Care at Clearmeadow PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3X 2E4,(905) 953-7812,,Bathurst Street & Mulock Drive,Centre Based Child Care,Yes,Yes,UPPER11,200 Clearmeadow Boulevard,,Newmarket,Newmarket
633079.3056,4858158.0212,94,54143,Coledale Junior Y,YMCA of Greater Toronto,Child Care Centre,L3R 7W8,(905) 940-3275,,Warden Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,COLED02,60 Coledale Road,,Unionville,Markham
641747.3774,4861289.11,95,48551,Upper Canada Child Care at Cornell Village PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L6B 1B5,(905) 472-1344,,16th Avenue & 9th Line,Centre Based Child Care,Yes,Yes,UPPER12,186 Country Glen Road,,Markham,Markham
625489.909,4861659.267,96,88053,Corpus Christi Day Care Centre,Among Friends Day Care Centre,Child Care Centre,L4S 1C6,(905) 552-0610 ,Ext.3,Yonge Street & 19th,Centre Based Child Care,Yes,Yes,CORPU03,35 Squire Drive,,Richmond Hill,Richmond Hill
623185.6476,4850483.1549,97,189601,Upper Canada Child Care at Hodan Nalayeh SS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L4J 7R4,(905) 660-5152,,Dufferin Street/Centre,Centre Based Child Care,Yes,Yes,UPPER13,1401 Clark Avenue West,,Thornhill,Vaughan
636478.3108,4876807.2293,98,207089,Country Casa Montessori and Daycare,Country Casa Montessori and Daycare Ltd.,Child Care Centre,L4A 7X3,(905) 640-5437 ,Ext.100,Highway 48 & Aurora Sideroad,Centre Based Child Care,Yes,Yes,COUNT02,15018 Highway 48,,Stouffville,Whitchurch-Stouffville
608089.75,4861814.25,99,246835,Country Kids Nobleton Inc.,Country Kids Nobleton Inc.,Child Care Centre,L0G 1N0,(905) 859-3672,,Highway 27 & King Road,Centre Based Child Care,Yes,Yes,COUNT04,6045 King Road West,,Nobleton,King
619856.122,4854651.7657,100,177306,Cozy Time,2489194 Ontario Ltd.,Child Care Centre,L4K 5A3,(416) 602-3811,,Keele Street & Rutherford Road,Centre Based Child Care,Yes,Yes,COZY 01,9222 Keele Street Building B West,,Vaughan,Vaughan
